trans_id,trans_date_trans_time,merchant,category,amt,first,last,gender,city,state,job,is_fraud,merch_lat,merch_long
TXN100566,2024-01-01 00:51:08,BookMyShow,entertainment,725.24,Aarav,Sharma,M,Mumbai,Maharashtra,Software Engineer,0,19.1053,72.8661
TXN100408,2024-01-01 04:04:39,McDonalds India,food_dining,720.38,Aarav,Sharma,M,Mumbai,Maharashtra,Software Engineer,0,19.0788,72.8678
TXN100467,2024-01-01 05:49:15,Cafe Coffee Day,food_dining,2076.27,Aarav,Sharma,M,Mumbai,Maharashtra,Software Engineer,0,19.1159,72.8995
TXN100239,2024-01-01 07:56:34,Blinkit,grocery_pos,2291.58,Aarav,Sharma,M,Chennai,Tamil Nadu,Software Engineer,0,13.0664,80.2364
TXN100154,2024-01-01 13:17:28,Cafe Coffee Day,food_dining,810.77,Aarav,Sharma,M,Mumbai,Maharashtra,Software Engineer,0,19.0810,72.8802
TXN100349,2024-01-02 00:44:51,Tata CLiQ,shopping_net,12991.44,Aarav,Sharma,M,Delhi,Delhi,Software Engineer,0,28.7013,77.1423
TXN100598,2024-01-02 17:26:52,Starbucks Coffee,food_dining,1287.93,Aarav,Sharma,M,Mumbai,Maharashtra,Software Engineer,0,19.0973,72.8891
TXN100333,2024-01-03 03:05:09,1mg Healthcare,health_fitness,4376.14,Aarav,Sharma,M,Mumbai,Maharashtra,Software Engineer,0,19.0509,72.8560
TXN100162,2024-01-03 20:43:31,Spencer Retail,grocery_pos,1743.11,Aarav,Sharma,M,Mumbai,Maharashtra,Software Engineer,0,19.0952,72.8381
TXN100345,2024-01-04 13:28:07,Tata CLiQ,shopping_net,5593.01,Aarav,Sharma,M,Mumbai,Maharashtra,Software Engineer,0,19.0825,72.8972
TXN100546,2024-01-04 16:21:59,Haldirams,food_dining,1754.15,Aarav,Sharma,M,Mumbai,Maharashtra,Software Engineer,0,19.0652,72.8448
TXN100445,2024-01-06 00:31:23,Dr Lal PathLabs,health_fitness,3133.12,Aarav,Sharma,M,Mumbai,Maharashtra,Software Engineer,0,19.0798,72.8595
TXN100281,2024-01-06 07:06:44,1mg Healthcare,health_fitness,2350.22,Aarav,Sharma,M,Jaipur,Rajasthan,Software Engineer,0,26.9232,75.7602
TXN100059,2024-01-06 07:36:02,D-Mart,grocery_pos,3135.35,Aarav,Sharma,M,Mumbai,Maharashtra,Software Engineer,0,19.0543,72.8918
TXN100088,2024-01-06 13:57:42,Flipkart,shopping_net,10050.99,Aarav,Sharma,M,Ahmedabad,Gujarat,Software Engineer,0,23.0504,72.5578
TXN100545,2024-01-07 22:38:21,Starbucks Coffee,food_dining,2183.57,Aarav,Sharma,M,Mumbai,Maharashtra,Software Engineer,0,19.0810,72.8881
TXN100145,2024-01-09 03:46:42,More Retail,grocery_pos,3046.04,Aarav,Sharma,M,Pune,Maharashtra,Software Engineer,0,18.5072,73.8313
TXN100269,2024-01-10 01:45:21,Fastag Toll,travel,4594.41,Aarav,Sharma,M,Mumbai,Maharashtra,Software Engineer,0,19.1144,72.8620
TXN100341,2024-01-10 03:43:24,D-Mart,grocery_pos,1782.24,Aarav,Sharma,M,Mumbai,Maharashtra,Software Engineer,0,19.0799,72.9170
TXN100422,2024-01-10 19:44:08,1mg Healthcare,health_fitness,2956.70,Aarav,Sharma,M,Kochi,Kerala,Software Engineer,0,9.9140,76.2847
TXN100541,2024-01-11 07:45:15,Jio Fiber,home_utilities,694.21,Aarav,Sharma,M,Kolkata,West Bengal,Software Engineer,0,22.5860,88.3815
TXN100335,2024-01-11 10:15:38,Swiggy,food_dining,897.10,Aarav,Sharma,M,Mumbai,Maharashtra,Software Engineer,0,19.0401,72.8715
TXN100138,2024-01-11 17:40:43,Flipkart,shopping_net,6759.35,Aarav,Sharma,M,Mumbai,Maharashtra,Software Engineer,0,19.0825,72.8510
TXN100483,2024-01-12 00:58:01,Medplus,health_fitness,472.16,Aarav,Sharma,M,Mumbai,Maharashtra,Software Engineer,0,19.0876,72.8899
TXN100106,2024-01-13 18:41:06,Netflix India,entertainment,1529.34,Aarav,Sharma,M,Mumbai,Maharashtra,Software Engineer,0,19.0367,72.8700
TXN100265,2024-01-15 19:11:27,IRCTC Express,travel,4518.14,Aarav,Sharma,M,Kolkata,West Bengal,Software Engineer,0,22.5599,88.3501
TXN100364,2024-01-15 23:46:46,Cult.fit,health_fitness,3543.94,Aarav,Sharma,M,Mumbai,Maharashtra,Software Engineer,0,19.1075,72.9018
TXN100594,2024-01-16 16:02:11,More Retail,grocery_pos,1866.80,Aarav,Sharma,M,Mumbai,Maharashtra,Software Engineer,0,19.0435,72.8634
TXN100007,2024-01-17 07:45:04,Dr Lal PathLabs,health_fitness,5679.63,Aarav,Sharma,M,Kolkata,West Bengal,Software Engineer,0,22.5922,88.3797
TXN100398,2024-01-17 16:11:04,Apollo Pharmacy,health_fitness,908.84,Aarav,Sharma,M,Mumbai,Maharashtra,Software Engineer,0,19.0959,72.9111
TXN100238,2024-01-18 11:22:51,RedBus,travel,2517.51,Aarav,Sharma,M,Mumbai,Maharashtra,Software Engineer,0,19.0386,72.8440
TXN100107,2024-01-18 12:37:42,Jio Fiber,home_utilities,4554.15,Aarav,Sharma,M,Chennai,Tamil Nadu,Software Engineer,0,13.1152,80.2737
TXN100198,2024-01-18 16:44:42,Nature Basket,grocery_pos,1269.78,Aarav,Sharma,M,Mumbai,Maharashtra,Software Engineer,0,19.0753,72.8444
TXN100215,2024-01-18 22:57:15,1mg Healthcare,health_fitness,4585.84,Aarav,Sharma,M,Mumbai,Maharashtra,Software Engineer,0,19.1115,72.8617
TXN100461,2024-01-19 18:02:35,Jio Fiber,home_utilities,1976.70,Aarav,Sharma,M,Mumbai,Maharashtra,Software Engineer,0,19.0361,72.8626
TXN100501,2024-01-19 23:30:30,Starbucks Coffee,food_dining,132.00,Aarav,Sharma,M,Mumbai,Maharashtra,Software Engineer,0,19.0940,72.8866
TXN100529,2024-01-20 09:31:50,MakeMyTrip,travel,994.64,Aarav,Sharma,M,Mumbai,Maharashtra,Software Engineer,0,19.0925,72.9097
TXN100182,2024-01-21 07:49:26,Urban Company Home Care,home_utilities,1058.18,Aarav,Sharma,M,Mumbai,Maharashtra,Software Engineer,0,19.0976,72.8671
TXN100607,2024-01-21 15:29:46,Swiggy,food_dining,2285.80,Aarav,Sharma,M,Mumbai,Maharashtra,Software Engineer,0,19.1059,72.9085
TXN100611,2024-01-22 01:45:56,SonyLIV,entertainment,1273.59,Aarav,Sharma,M,Kochi,Kerala,Software Engineer,0,9.9368,76.3071
TXN100144,2024-01-22 15:25:02,Haldirams,food_dining,2249.46,Aarav,Sharma,M,Mumbai,Maharashtra,Software Engineer,0,19.0830,72.8823
